x,y,z,value1,value2,value3    
11,12,0,-0.233064E+00,0.394438E-01,0.225376E-01
12,12,0,-0.205229E+00,0.281425E-01,0.218728E-01
13,12,0,-0.234457E+00,0.889210E-01,0.479373E-01
14,12,0,-0.265882E+00,0.244894E-02,0.513439E-01
15,12,0,-0.287589E+00,0.902292E-01,0.183358E-02
16,12,0,-0.304242E+00,0.132174E+00,0.105573E+00
17,12,0,-0.304511E+00,0.128667E+00,0.127887E+00
18,12,0,-0.289150E+00,0.134849E+00,0.136766E+00
19,12,0,-0.249516E+00,0.391792E-02,0.358048E-01
20,12,0,-0.198025E+00,0.338451E-01,0.420979E-01
21,12,0,-0.209477E+00,0.000000E+00,0.000000E+00
22,12,0,-0.173037E+00,0.000000E+00,0.000000E+00
23,12,0,-0.128288E+00,0.105931E-01,0.761806E-02
24,12,0,-0.124567E+00,0.770634E-02,0.691336E-02
25,12,0,-0.127025E+00,0.179042E-01,0.760449E-02
26,12,0,-0.131023E+00,0.892184E-02,0.173878E-01
27,12,0,-0.144343E+00,0.456991E-01,0.116075E-01
0,13,0,-0.137064E+00,0.151730E-01,0.105851E-01
1,13,0,-0.160704E+00,0.137150E-01,0.471204E-01
2,13,0,-0.194848E+00,0.117136E+00,0.247567E-01
3,13,0,-0.264188E+00,0.340651E-02,0.679481E-01
4,13,0,-0.354339E+00,0.000000E+00,0.953208E-01
5,13,0,-0.474346E+00,0.000000E+00,0.765547E-01
6,13,0,-0.590643E+00,0.000000E+00,0.480052E-01
7,13,0,-0.631465E+00,0.000000E+00,0.451409E-01
8,13,0,-0.581430E+00,0.000000E+00,0.529164E-01
9,13,0,-0.471923E+00,0.000000E+00,0.701450E-01
10,13,0,-0.348193E+00,0.000000E+00,0.111433E-02
11,13,0,-0.250663E+00,0.768654E-01,0.333702E-01
12,13,0,-0.208106E+00,0.288553E-01,0.199014E-01
13,13,0,-0.208834E+00,0.361352E-01,0.282518E-01
14,13,0,-0.273612E+00,0.142706E+00,0.180474E-02
15,13,0,-0.297454E+00,0.116645E+00,0.543472E-02
16,13,0,-0.321176E+00,0.124788E+00,0.727185E-01
17,13,0,-0.329769E+00,0.126035E+00,0.716999E-01
18,13,0,-0.321311E+00,0.127577E+00,0.113460E+00
19,13,0,-0.297584E+00,0.113187E+00,0.103942E+00
20,13,0,-0.280809E+00,0.000000E+00,0.696184E-01
21,13,0,-0.197637E+00,0.482286E-01,0.339677E-01
22,13,0,-0.190126E+00,0.000000E+00,0.761370E-01
23,13,0,-0.175337E+00,0.978309E-01,0.000000E+00
24,13,0,-0.122126E+00,0.860551E-02,0.674432E-02
25,13,0,-0.115729E+00,0.570486E-02,0.577058E-02
26,13,0,-0.120294E+00,0.145413E-01,0.780544E-02
27,13,0,-0.127784E+00,0.124220E-01,0.173678E-01
0,14,0,-0.120664E+00,0.689335E-02,0.114541E-01
1,14,0,-0.136376E+00,0.137247E-01,0.980701E-02
2,14,0,-0.166307E+00,0.139456E-01,0.103678E+00
3,14,0,-0.200563E+00,0.000000E+00,0.246033E-01
4,14,0,-0.241172E+00,0.366696E-01,0.503045E-01
5,14,0,-0.309455E+00,0.850969E-01,0.619533E-01
6,14,0,-0.369939E+00,0.000000E+00,0.355478E-01
7,14,0,-0.411146E+00,0.000000E+00,0.114485E-02
8,14,0,-0.413202E+00,0.626993E-01,0.113540E-02
9,14,0,-0.363642E+00,0.113157E+00,0.532059E-01
10,14,0,-0.293153E+00,0.903949E-01,0.326723E-01
11,14,0,-0.262597E+00,0.137846E+00,0.394148E-01
12,14,0,-0.210451E+00,0.248734E-01,0.241320E-01
13,14,0,-0.223441E+00,0.149285E+00,0.612971E-01
14,14,0,-0.199774E+00,0.274591E-01,0.203683E-01
15,14,0,-0.233360E+00,0.846543E-01,0.559434E-01
16,14,0,-0.259186E+00,0.199974E-02,0.812563E-01
17,14,0,-0.274416E+00,0.108444E+00,0.745906E-01
18,14,0,-0.276049E+00,0.121225E+00,0.585656E-01
19,14,0,-0.257982E+00,0.223421E-02,0.802655E-01
20,14,0,-0.234091E+00,0.890332E-01,0.703962E-01
21,14,0,-0.240229E+00,0.000000E+00,0.828154E-01
22,14,0,-0.162689E+00,0.146032E-01,0.135812E-01
23,14,0,-0.141300E+00,0.122770E-01,0.106183E-01
24,14,0,-0.133020E+00,0.144294E-01,0.232029E-01
25,14,0,-0.117052E+00,0.656420E-02,0.620779E-02
26,14,0,-0.106894E+00,0.570623E-02,0.585161E-02
27,14,0,-0.110479E+00,0.690601E-02,0.549615E-02
0,15,0,-0.143381E+00,0.785845E-01,0.114988E-01
1,15,0,-0.163180E+00,0.134966E-01,0.860377E-01
2,15,0,-0.198022E+00,0.000000E+00,0.224013E-01
3,15,0,-0.255097E+00,0.000000E+00,0.743501E-01
4,15,0,-0.325732E+00,0.000000E+00,0.151907E-01
5,15,0,-0.416570E+00,0.000000E+00,0.655761E-01
6,15,0,-0.514627E+00,0.000000E+00,0.713470E-01
7,15,0,-0.550083E+00,0.000000E+00,0.640856E-01
8,15,0,-0.510113E+00,0.000000E+00,0.711266E-01
9,15,0,-0.416335E+00,0.000000E+00,0.825022E-01
10,15,0,-0.314313E+00,0.154336E+00,0.565715E-01
11,15,0,-0.235874E+00,0.390224E-01,0.325449E-01
12,15,0,-0.204888E+00,0.346745E-01,0.228620E-01
13,15,0,-0.192242E+00,0.212240E-01,0.161687E-01
14,15,0,-0.202861E+00,0.350825E-01,0.231600E-01
15,15,0,-0.228244E+00,0.821344E-01,0.502093E-01
16,15,0,-0.246966E+00,0.786299E-01,0.753370E-01
17,15,0,-0.257164E+00,0.201362E-02,0.737006E-01
18,15,0,-0.248867E+00,0.107664E-01,0.867580E-01
19,15,0,-0.223481E+00,0.888729E-01,0.557953E-01
20,15,0,-0.203850E+00,0.665433E-01,0.777191E-01
21,15,0,-0.174325E+00,0.477192E-01,0.231914E-01
22,15,0,-0.176590E+00,0.704130E-01,0.942381E-01
23,15,0,-0.155434E+00,0.121054E+00,0.113958E+00
24,15,0,-0.112256E+00,0.570789E-02,0.574610E-02
25,15,0,-0.113431E+00,0.641112E-02,0.649353E-02
26,15,0,-0.122716E+00,0.140830E-01,0.700328E-02
27,15,0,-0.134901E+00,0.160054E-01,0.546847E-01
