x,y,z,water,no3,na
0.322581,1.612903,0.000000,18.04206156,0.00336045,-0.00016864
0.483871,1.612903,0.000000,18.46665636,0.00344496,-0.00017598
0.645161,1.612903,0.000000,18.72599471,0.00363792,-0.00018178
0.806452,1.612903,0.000000,18.74578972,0.00345073,-0.00018996
0.967742,1.612903,0.000000,19.06891041,0.00356838,-0.00019404
1.129032,1.612903,0.000000,18.69670840,0.00354683,-0.00019632
1.290323,1.612903,0.000000,18.64222700,0.00357990,-0.00019976
1.451613,1.612903,0.000000,18.40445178,0.00343481,-0.00020365
1.612903,1.612903,0.000000,18.31946046,0.00344262,-0.00020820
1.774194,1.612903,0.000000,18.28356042,0.00343802,-0.00021131
1.935484,1.612903,0.000000,18.66217249,0.00351456,-0.00021908
2.096774,1.612903,0.000000,18.88155144,0.00369016,-0.00022532
2.258065,1.612903,0.000000,18.96459401,0.00348918,-0.00023660
2.419355,1.612903,0.000000,19.16072275,0.00360391,-0.00023832
2.580645,1.612903,0.000000,18.69670840,0.00355681,-0.00023960
2.741935,1.612903,0.000000,18.64222700,0.00358886,-0.00024287
2.903226,1.612903,0.000000,18.40445178,0.00344342,-0.00024663
3.064516,1.612903,0.000000,18.31946046,0.00345124,-0.00025112
3.225806,1.612903,0.000000,18.28356042,0.00344662,-0.00025382
3.387097,1.612903,0.000000,18.66217249,0.00352331,-0.00026202
3.548387,1.612903,0.000000,18.88155144,0.00369931,-0.00026830
3.709677,1.612903,0.000000,18.96459401,0.00349776,-0.00028045
3.870968,1.612903,0.000000,19.16072275,0.00361270,-0.00028118
4.032258,1.612903,0.000000,18.69670840,0.00356537,-0.00028135
4.193548,1.612903,0.000000,18.64222700,0.00359740,-0.00028379
4.354839,1.612903,0.000000,18.40445178,0.00345146,-0.00028674
4.516129,1.612903,0.000000,18.31946046,0.00345917,-0.00029045
4.677419,1.612903,0.000000,18.28356042,0.00342882,-0.00029330
4.838710,1.612903,0.000000,18.66217249,0.00341688,-0.00030245
5.000000,1.612903,0.000000,16.80777664,0.00293773,-0.00040113
0.000000,1.774194,0.000000,17.83553367,0.00327982,-0.00022752
0.161290,1.774194,0.000000,18.29955161,0.00333867,-0.00017015
0.322581,1.774194,0.000000,18.53961485,0.00355644,-0.00017562
0.483871,1.774194,0.000000,18.72887262,0.00344263,-0.00018448
0.645161,1.774194,0.000000,18.99612684,0.00354604,-0.00018828
0.806452,1.774194,0.000000,18.54388725,0.00351695,-0.00019000
0.967742,1.774194,0.000000,18.62517418,0.00357174,-0.00019453
1.129032,1.774194,0.000000,18.40445178,0.00343351,-0.00019858
1.290323,1.774194,0.000000,18.31946046,0.00344162,-0.00020322
1.451613,1.774194,0.000000,18.28356042,0.00343705,-0.00020647
1.612903,1.774194,0.000000,18.66217249,0.00351359,-0.00021427
1.774194,1.774194,0.000000,18.88155144,0.00368917,-0.00022061
1.935484,1.774194,0.000000,18.96459401,0.00348827,-0.00023190
2.096774,1.774194,0.000000,19.16072275,0.00360301,-0.00023385
2.258065,1.774194,0.000000,18.69670840,0.00355595,-0.00023538
2.419355,1.774194,0.000000,18.64222700,0.00358804,-0.00023887
2.580645,1.774194,0.000000,18.40445178,0.00344266,-0.00024286
2.741935,1.774194,0.000000,18.31946046,0.00345053,-0.00024758
2.903226,1.774194,0.000000,18.28356042,0.00344596,-0.00025055
3.064516,1.774194,0.000000,18.66217249,0.00352270,-0.00025897
3.225806,1.774194,0.000000,18.88155144,0.00369872,-0.00026552
3.387097,1.774194,0.000000,18.96459401,0.00349727,-0.00027791
3.548387,1.774194,0.000000,19.16072275,0.00361226,-0.00027900
3.709677,1.774194,0.000000,18.69670840,0.00356501,-0.00027955
3.870968,1.774194,0.000000,18.64222700,0.00359711,-0.00028237
4.032258,1.774194,0.000000,18.40445178,0.00345126,-0.00028570
4.193548,1.774194,0.000000,18.31946046,0.00345905,-0.00028982
4.354839,1.774194,0.000000,18.28356042,0.00345432,-0.00029182
4.516129,1.774194,0.000000,18.66217249,0.00353111,-0.00030006
4.677419,1.774194,0.000000,18.88155144,0.00368233,-0.00030738
4.838710,1.774194,0.000000,18.96459401,0.00335366,-0.00032141
5.000000,1.774194,0.000000,17.12270738,0.00302078,-0.00041651
0.000000,1.935484,0.000000,18.33486628,0.00343574,-0.00023681
0.161290,1.935484,0.000000,18.54205022,0.00332544,-0.00017823
0.322581,1.935484,0.000000,18.75626642,0.00348046,-0.00018091
0.483871,1.935484,0.000000,18.46519909,0.00349007,-0.00018404
0.645161,1.935484,0.000000,18.47858703,0.00353103,-0.00018774
0.806452,1.935484,0.000000,18.30622708,0.00340064,-0.00019257
0.967742,1.935484,0.000000,18.31591763,0.00343851,-0.00019778
1.129032,1.935484,0.000000,18.28356042,0.00343591,-0.00020115
1.290323,1.935484,0.000000,18.66217249,0.00351250,-0.00020896
1.451613,1.935484,0.000000,18.88155144,0.00368805,-0.00021536
1.612903,1.935484,0.000000,18.96459401,0.00348723,-0.00022662
1.774194,1.935484,0.000000,19.16072275,0.00360196,-0.00022876
1.935484,1.935484,0.000000,18.69670840,0.00355494,-0.00023051
2.096774,1.935484,0.000000,18.64222700,0.00358706,-0.00023419
2.258065,1.935484,0.000000,18.40445178,0.00344176,-0.00023837
2.419355,1.935484,0.000000,18.31946046,0.00344967,-0.00024329
2.580645,1.935484,0.000000,18.28356042,0.00344513,-0.00024650
2.741935,1.935484,0.000000,18.66217249,0.00352190,-0.00025510
2.903226,1.935484,0.000000,18.88155144,0.00369794,-0.00026188
3.064516,1.935484,0.000000,18.96459401,0.00349658,-0.00027444
3.225806,1.935484,0.000000,19.16072275,0.00361161,-0.00027588
3.387097,1.935484,0.000000,18.69670840,0.00356444,-0.00027679
3.548387,1.935484,0.000000,18.64222700,0.00359660,-0.00027996
3.709677,1.935484,0.000000,18.40445178,0.00345084,-0.00028365
3.870968,1.935484,0.000000,18.31946046,0.00345870,-0.00028814
